,CommitTime,CommitMessage,CommitID,ReadingError,axioms,reasonerActive,logicalAxioms,subClassOfAxioms,inverseObjectPropertyAxioms,objectPropertiesOnClasses,OntoQA_Cohesion,OntoQA_Relationship_Richness,OntoQA_Relationship_Diversity,OntoQA_Class_Utilization,OntoQA_Class_Inheritance_Richness,OntoQA_Attribute_Richness,OntoQA_Schema_Deepness,individuals,classes,classesWithIndividuals,created,repository,fileName,branch,wholeRepositoryAnalyzed
14,2019-06-14 16:14:50+00:00,"Merge branch 'master' into rc-2019-06-14
",9fe08216b69e9412f79076af51ca989165d95cfb,,16697,False,2742,1654,1,501,1,0.7675174013921113,0.7675174013921113,0.0,0.9193996664813785,0.0,0.9193996664813785,0,1799,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
15,2019-06-18 16:23:13+00:00,"Fix date format
",dad9da1f63170a5794483229c8a4d52ef4f1fd68,,16697,False,2742,1654,1,501,1,0.7675174013921113,0.7675174013921113,0.0,0.9193996664813785,0.0,0.9193996664813785,0,1799,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
16,2019-09-07 15:03:31+00:00,"Release 2019-09-07
",c84ee2511dd407f12bc9bb18124afb8f8ede5b1d,,16697,False,2731,1632,1,490,1,0.7690857681432611,0.7690857681432611,0.0,0.9071706503613118,0.0,0.9071706503613118,0,1799,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
17,2019-10-16 15:53:57+00:00,"2019-10-16 release
",ba93d3e2d6e30dbec2b093ecdedb0b3410330c2b,,16813,False,2741,1638,1,490,1,0.7697368421052632,0.7697368421052632,0.0,0.9074792243767313,0.0,0.9074792243767313,0,1805,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
18,2020-01-03 23:42:58+00:00,"Release 2020-01-03
",a41316f33339adca5fbc4b0553eb3a9b968891d4,,16842,False,2735,1619,1,488,1,0.7683910773611771,0.7683910773611771,0.0,0.8959601549529607,0.0,0.8959601549529607,0,1807,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
19,2020-01-07 16:04:19+00:00,"Relase 2020-01-07
",ac5f7b2191859677fdd3b39a47cae218e49cb6ce,,16842,False,2735,1619,1,488,1,0.7683910773611771,0.7683910773611771,0.0,0.8959601549529607,0.0,0.8959601549529607,0,1807,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
20,2020-02-07 15:55:51+00:00,"release 2020-02-07
",b5764c7b3b6c8a832828e22e326fd79c76da9cd5,,16869,False,2738,1622,1,488,1,0.7687203791469195,0.7687203791469195,0.0,0.8961325966850828,0.0,0.8961325966850828,0,1810,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
21,2020-04-03 18:51:57+00:00,"release 2020-04-03
",55e7f90894caffb0998b00e69b958848478c92a1,,16869,False,2738,1622,1,488,1,0.7687203791469195,0.7687203791469195,0.0,0.8961325966850828,0.0,0.8961325966850828,0,1810,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
22,2020-05-01 19:29:08+00:00,"release 2020-05-01
",8eafa29b7db3e20100e55b40d7f37ac3e711fccc,,16869,False,2738,1622,1,488,1,0.7687203791469195,0.7687203791469195,0.0,0.8961325966850828,0.0,0.8961325966850828,0,1810,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
23,2020-05-15 20:23:49+00:00,"release 2020-05-15
",1cc651bf73209962252f9affae1762ec806a9427,,16869,False,2738,1622,1,488,1,0.7687203791469195,0.7687203791469195,0.0,0.8961325966850828,0.0,0.8961325966850828,0,1810,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
24,2020-06-26 19:42:49+00:00,"release 2020-06-26
",a23035d1ea10ca83c9480c4a0a7749211f2a2b2c,,16965,False,2758,1634,1,488,1,0.7700282752120641,0.7700282752120641,0.0,0.8968166849615807,0.0,0.8968166849615807,0,1822,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
25,2020-06-29 11:53:37+00:00,"release 2020-06-29
",7743d3a21a6026294a86478c1b3196f4df5f70d2,,16965,False,2758,1634,1,488,1,0.7700282752120641,0.7700282752120641,0.0,0.8968166849615807,0.0,0.8968166849615807,0,1822,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
26,2020-08-07 20:39:30+00:00,"release 2020-08-07
",d2608243a896a9c67b432514c56e2f56a3429836,,16965,False,2758,1634,1,488,1,0.7700282752120641,0.7700282752120641,0.0,0.8968166849615807,0.0,0.8968166849615807,0,1822,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
